order_numer,number_of_orders_past_3_months,gross_sum_orders_past_3_months,numer_of_orders_future_3_months,gross_sum_orders_future_3_months
AD094454988,2,114.67,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094538458,2,114.67,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
RB015774446,1,19.76,1,19.76
621100000000020000000000000003981409042021,1,33.38,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094478597,1,36.55,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094477348,1,214.0,1,214.0
657900000000030000000000000005205709042021,1,238.5,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094487277,1,49.0,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094495164,3,368.05,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094495371,3,368.05,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094743726,3,368.05,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094503818,1,384.32,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
ADX11065279,1,29.48,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
RB015802239,1,92.07,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094530312,1,17.48,1,17.48
AD094536908,1,17.48,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094539190,1,525.63,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094539831,1,393.3,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094548854,1,65.84,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094549635,1,94.81,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
624000000000030000000000000005353410042021,1,44.99,1,44.99
621400000000020000000000000005791810042021,1,345.6,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094569226,1,124.02,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094575056,1,180.0,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094577680,1,79.31,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
619700000000020000000000000001004310042021,2,230.6,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
619700000000020000000000000001004410042021,2,230.6,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094581918,1,193.95,1,193.95
622600000000020000000000000003525110042021,1,70.0,1,70.0
AD094587669,1,84.8,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094590733,1,80.24,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094625112,1,214.49,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
RB015844263,1,68.03,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094637659,1,85.8,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
RB015848643,1,75.25,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
RB015853541,1,34.16,Data has gaps or customer doesn't make order for the last 3 months,Data has gaps or customer doesn't make order for the last 3 months
AD094662056,1,188.0,1,188.0
